"comm_fkt","CSB","tot_consult","perc_consult"
"AMBIABE_AMBALAFASINA","AMBIABE",63,0.875
"AMBIABE_AMBALAFASINA","AMBOHIMANGA DU SUD",5,0.0694444444444444
"AMBIABE_AMBALAFASINA","KELILALINA",3,0.0416666666666667
"AMBIABE_AMBALAFASINA","MAROTOKO",1,0.0138888888888889
"AMBIABE_AMBALATENINA","AMBIABE",371,0.685767097966728
"AMBIABE_AMBALATENINA","IFANADIANA",162,0.299445471349353
"AMBIABE_AMBALATENINA","KELILALINA",6,0.011090573012939
"AMBIABE_AMBALATENINA","MAROTOKO",1,0.00184842883548983
"AMBIABE_AMBALATENINA","RANOMAFANA",1,0.00184842883548983
"AMBIABE_AMBIABE I","AMBIABE",1897,0.727377300613497
"AMBIABE_AMBIABE I","ANTARETRA",1,0.000383435582822086
"AMBIABE_AMBIABE I","IFANADIANA",692,0.265337423312883
"AMBIABE_AMBIABE I","KELILALINA",16,0.00613496932515337
"AMBIABE_AMBIABE I","RANOMAFANA",2,0.000766871165644172
"AMBIABE_AMBINANINDRANOTELO","AMBIABE",614,0.557674841053588
"AMBIABE_AMBINANINDRANOTELO","ANALAMARINA",1,0.000908265213442325
"AMBIABE_AMBINANINDRANOTELO","IFANADIANA",476,0.432334241598547
"AMBIABE_AMBINANINDRANOTELO","RANOMAFANA",10,0.00908265213442325
"AMBIABE_ANKABOKA","AMBIABE",754,0.766260162601626
"AMBIABE_ANKABOKA","ANDRORANGAVOLA",1,0.00101626016260163
"AMBIABE_ANKABOKA","IFANADIANA",214,0.217479674796748
"AMBIABE_ANKABOKA","KELILALINA",14,0.0142276422764228
"AMBIABE_ANKABOKA","RANOMAFANA",1,0.00101626016260163
"AMBIABE_SAHAVATANA","AMBIABE",216,0.833976833976834
"AMBIABE_SAHAVATANA","IFANADIANA",5,0.0193050193050193
"AMBIABE_SAHAVATANA","KELILALINA",38,0.146718146718147
"AMBOHIMANGA DU SUD_AMBALAHERANA","AMBOHIMANGA DU SUD",221,0.91701244813278
"AMBOHIMANGA DU SUD_AMBALAHERANA","FASINTSARA",15,0.0622406639004149
"AMBOHIMANGA DU SUD_AMBALAHERANA","TSARATANANA",5,0.020746887966805
"AMBOHIMANGA DU SUD_AMBALAVARY","AMBODIMANGA NORD",100,0.3690036900369
"AMBOHIMANGA DU SUD_AMBALAVARY","AMBOHIMANGA DU SUD",163,0.601476014760148
"AMBOHIMANGA DU SUD_AMBALAVARY","ANALAMPASINA",8,0.029520295202952
"AMBOHIMANGA DU SUD_AMBATOFANOKONANA","AMBOHIMANGA DU SUD",94,0.94949494949495
"AMBOHIMANGA DU SUD_AMBATOFANOKONANA","ANALAMPASINA",3,0.0303030303030303
"AMBOHIMANGA DU SUD_AMBATOFANOKONANA","ANTARETRA",2,0.0202020202020202
"AMBOHIMANGA DU SUD_AMBILANIBE","AMBOHIMANGA DU SUD",205,0.976190476190476
"AMBOHIMANGA DU SUD_AMBILANIBE","ANALAMPASINA",2,0.00952380952380952
"AMBOHIMANGA DU SUD_AMBILANIBE","ANTARETRA",3,0.0142857142857143
"AMBOHIMANGA DU SUD_AMBODIARA","AMBODIARA SUD",1,0.00124688279301746
"AMBOHIMANGA DU SUD_AMBODIARA","AMBODIMANGA NORD",86,0.107231920199501
"AMBOHIMANGA DU SUD_AMBODIARA","AMBOHIMANGA DU SUD",715,0.891521197007481
"AMBOHIMANGA DU SUD_AMBODIMANGA NORD","AMBODIMANGA NORD",1187,0.960355987055016
"AMBOHIMANGA DU SUD_AMBODIMANGA NORD","AMBOHIMANGA DU SUD",47,0.0380258899676375
"AMBOHIMANGA DU SUD_AMBODIMANGA NORD","ANTARETRA",1,0.000809061488673139
"AMBOHIMANGA DU SUD_AMBODIMANGA NORD","KELILALINA",1,0.000809061488673139
"AMBOHIMANGA DU SUD_AMBODIRAFIA","AMBODIMANGA NORD",94,0.175373134328358
"AMBOHIMANGA DU SUD_AMBODIRAFIA","AMBOHIMANGA DU SUD",429,0.800373134328358
"AMBOHIMANGA DU SUD_AMBODIRAFIA","ANALAMARINA",1,0.00186567164179104
"AMBOHIMANGA DU SUD_AMBODIRAFIA","ANALAMPASINA",6,0.0111940298507463
"AMBOHIMANGA DU SUD_AMBODIRAFIA","ANTARETRA",3,0.00559701492537313
"AMBOHIMANGA DU SUD_AMBODIRAFIA","ANTSINDRA",1,0.00186567164179104
"AMBOHIMANGA DU SUD_AMBODIRAFIA","FASINTSARA",1,0.00186567164179104
"AMBOHIMANGA DU SUD_AMBODIRAFIA","IFANADIANA",1,0.00186567164179104
"AMBOHIMANGA DU SUD_AMBODIVOASARY","AMBODIMANGA NORD",3,0.00909090909090909
"AMBOHIMANGA DU SUD_AMBODIVOASARY","AMBOHIMANGA DU SUD",323,0.978787878787879
"AMBOHIMANGA DU SUD_AMBODIVOASARY","ANALAMPASINA",4,0.0121212121212121
"AMBOHIMANGA DU SUD_AMBOHIMANGA SUD","AMBODIARA SUD",1,0.000315855969677827
"AMBOHIMANGA DU SUD_AMBOHIMANGA SUD","AMBODIMANGA NORD",4,0.00126342387871131
"AMBOHIMANGA DU SUD_AMBOHIMANGA SUD","AMBOHIMANGA DU SUD",3133,0.989576753000632
"AMBOHIMANGA DU SUD_AMBOHIMANGA SUD","AMBOHIMIERA",2,0.000631711939355654
"AMBOHIMANGA DU SUD_AMBOHIMANGA SUD","ANALAMARINA",1,0.000315855969677827
"AMBOHIMANGA DU SUD_AMBOHIMANGA SUD","IFANADIANA",21,0.00663297536323437
"AMBOHIMANGA DU SUD_AMBOHIMANGA SUD","TSARATANANA",4,0.00126342387871131
"AMBOHIMANGA DU SUD_AMBOHIMIRANTY","AMBODIARA SUD",9,0.015025041736227
"AMBOHIMANGA DU SUD_AMBOHIMIRANTY","AMBODIMANGA NORD",9,0.015025041736227
"AMBOHIMANGA DU SUD_AMBOHIMIRANTY","AMBOHIMANGA DU SUD",499,0.8330550918197
"AMBOHIMANGA DU SUD_AMBOHIMIRANTY","ANALAMPASINA",80,0.13355592654424
"AMBOHIMANGA DU SUD_AMBOHIMIRANTY","ANTSINDRA",1,0.00166944908180301
"AMBOHIMANGA DU SUD_AMBOHIMIRANTY","TSARATANANA",1,0.00166944908180301
"AMBOHIMANGA DU SUD_ANDRORANGAVOLA NORD","AMBODIMANGA NORD",173,0.38876404494382
"AMBOHIMANGA DU SUD_ANDRORANGAVOLA NORD","AMBOHIMANGA DU SUD",252,0.566292134831461
"AMBOHIMANGA DU SUD_ANDRORANGAVOLA NORD","ANALAMPASINA",18,0.0404494382022472
"AMBOHIMANGA DU SUD_ANDRORANGAVOLA NORD","ANDRORANGAVOLA",1,0.00224719101123596
"AMBOHIMANGA DU SUD_ANDRORANGAVOLA NORD","ANTSINDRA",1,0.00224719101123596
"AMBOHIMANGA DU SUD_ANTANJONA","AMBODIMANGA NORD",35,0.238095238095238
"AMBOHIMANGA DU SUD_ANTANJONA","AMBOHIMANGA DU SUD",42,0.285714285714286
"AMBOHIMANGA DU SUD_ANTANJONA","ANALAMARINA",39,0.26530612244898
"AMBOHIMANGA DU SUD_ANTANJONA","ANALAMPASINA",8,0.054421768707483
"AMBOHIMANGA DU SUD_ANTANJONA","ANTSINDRA",22,0.149659863945578
"AMBOHIMANGA DU SUD_ANTANJONA","TSARATANANA",1,0.00680272108843537
"AMBOHIMANGA DU SUD_FALIARIVO","AMBOHIMANGA DU SUD",130,0.849673202614379
"AMBOHIMANGA DU SUD_FALIARIVO","ANALAMARINA",3,0.0196078431372549
"AMBOHIMANGA DU SUD_FALIARIVO","ANTSINDRA",20,0.130718954248366
"AMBOHIMANGA DU SUD_FASINTSARA ANDAKANA","AMBODIMANGA NORD",2,0.016
"AMBOHIMANGA DU SUD_FASINTSARA ANDAKANA","AMBOHIMANGA DU SUD",123,0.984
"AMBOHIMANGA DU SUD_MANDROALINA","AMBODIMANGA NORD",4,0.0067911714770798
"AMBOHIMANGA DU SUD_MANDROALINA","AMBOHIMANGA DU SUD",573,0.972835314091681
"AMBOHIMANGA DU SUD_MANDROALINA","ANALAMARINA",2,0.0033955857385399
"AMBOHIMANGA DU SUD_MANDROALINA","ANALAMPASINA",8,0.0135823429541596
"AMBOHIMANGA DU SUD_MANDROALINA","IFANADIANA",1,0.00169779286926995
"AMBOHIMANGA DU SUD_MANDROALINA","MAROTOKO",1,0.00169779286926995
"AMBOHIMANGA DU SUD_MAROLANANANA","AMBODIMANGA NORD",597,0.937205651491366
"AMBOHIMANGA DU SUD_MAROLANANANA","AMBOHIMANGA DU SUD",32,0.0502354788069074
"AMBOHIMANGA DU SUD_MAROLANANANA","KELILALINA",2,0.00313971742543171
"AMBOHIMANGA DU SUD_MAROLANANANA","TSARATANANA",6,0.00941915227629513
