CSB_dashboard,fokontany_dashboard,commune_std,fokontany_std,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12,2021-1,2021-2,2021-3,2021-4,2021-5
CSB2 Ambiabe,Ambalafasina,AMBIABE,AMBALAFASINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,2,4,15,9,18,10,3,22,5,18,5,7,8,3,1,0,22,28,93,40,3,3,1,2,0,0,9,8,22,60,80,31,0,,
CSB2 Ambiabe,Ambalatenina,AMBIABE,AMBALATENINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,8,,2,3,2,13,7,0,19,5,20,2,7,2,0,0,0,8,24,81,54,12,1,0,0,0,0,1,7,30,47,104,15,0,,
CSB2 Ambiabe,Ambiabe,AMBIABE,AMBIABE I,5,1,11,,,2,2,2,,0,0,,1,15,,,2,2,0,0,1,6,18,45,78,12,3,5,7,8,10,10,1,6,8,9,22,17,16,17,6,12,4,2,6,0,15,35,90,73,16,12,2,2,1,0,4,8,40,51,94,5,0,,
CSB2 Ambiabe,Ambinanindranotelo,AMBIABE,AMBINANINDRANOTELO,14,2,,,,1,0,0,0,0,6,13,42,50,55,41,22,1,6,0,0,10,24,37,109,0,0,0,,6,8,7,9,6,3,4,21,47,20,24,0,0,1,1,0,3,21,40,105,38,2,0,0,0,0,0,7,14,67,100,115,41,0,,
CSB2 Ambiabe,Ankaboka,AMBIABE,ANKABOKA,,,,,,2,2,,,,,,,,,,,2,,,,,,,,,,0,5,4,8,0,7,2,6,9,7,20,7,21,7,1,1,0,0,0,2,13,30,53,29,0,0,0,2,0,4,5,20,47,38,31,0,,
CSB2 Ambiabe,Sahavatana,AMBIABE,SAHAVATANA,36,30,,,4,15,9,10,,3,9,0,7,30,20,50,45,15,6,7,2,12,35,53,0,,0,0,50,0,25,8,6,9,24,,0,28,11,22,0,5,3,0,4,9,18,17,76,13,0,0,0,0,0,2,5,9,65,61,60,6,0,,
CSB2 Ambohimanga Sud,Ambalaherana,AMBOHIMANGA DU SUD,AMBALAHERANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,1,1,13,30,18,30,7,,
CSB2 Ambohimanga Sud,Ambatofamokonana,AMBOHIMANGA DU SUD,AMBATOFANOKONANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,2,9,23,30,27,16,,
CSB2 Ambohimanga Sud,Ambilanibe,AMBOHIMANGA DU SUD,AMBILANIBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,9,17,23,19,20,,
CSB2 Ambohimanga Sud,Ambodiara,AMBOHIMANGA DU SUD,AMBODIARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,2,9,23,19,25,15,,
CSB2 Ambohimanga Sud,Ambodirafia,AMBOHIMANGA DU SUD,AMBODIRAFIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,0,1,1,11,22,20,20,17,,
CSB2 Ambohimanga Sud,Ambodivoasary,AMBOHIMANGA DU SUD,AMBODIVOASARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,,1,11,14,15,17,17,,
CSB2 Ambohimanga Sud,Ambohimanga Sud,AMBOHIMANGA DU SUD,AMBOHIMANGA SUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,
CSB2 Ambohimanga Sud,Ambohimiranty,AMBOHIMANGA DU SUD,AMBOHIMIRANTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,0,0,0,15,18,32,35,5,,
CSB2 Ambohimanga Sud,Androrangavola Nord,AMBOHIMANGA DU SUD,ANDRORANGAVOLA NORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,,,,,,,
CSB2 Ambohimanga Sud,Antanjona,AMBOHIMANGA DU SUD,ANTANJONA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,12,8,46,12,32,11,,
CSB2 Ambohimanga Sud,Faliarivo,AMBOHIMANGA DU SUD,FALIARIVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,0,,6,5,53,9,31,17,,
CSB2 Ambohimanga Sud,Fasintsara Andakana,AMBOHIMANGA DU SUD,FASINTSARA ANDAKANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,1,1,11,42,22,28,15,,
CSB2 Ambohimanga Sud,Mandroalina,AMBOHIMANGA DU SUD,MANDROALINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,2,2,9,17,29,22,6,,
CSB2 Ambohimanga Sud,Marosatroka,AMBOHIMANGA DU SUD,MAROSATROKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,0,4,13,44,28,18,6,,
CSB2 Ambohimanga Sud,Masoarovana,AMBOHIMANGA DU SUD,MASOAROVANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,1,1,7,9,26,19,26,,
CSB2 Ambohimanga Sud,Morarano,AMBOHIMANGA DU SUD,MORARANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,4,4,10,11,35,23,5,,
CSB2 Ambohimanga Sud,Nosimboahangy,AMBOHIMANGA DU SUD,NOSIMBOAHANGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,21,0,0,2,15,20,24,31,15,,
CSB2 Ambohimanga Sud,Sahamarana,AMBOHIMANGA DU SUD,SAHAMARANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,3,5,10,18,17,14,,
CSB2 Antaretra,Ambilanivatomena,ANTARETRA,AMBINANIVATOMENA,,,,,,,,,,,,,,,,0,,,,,0,,8,9,,,0,0,,12,10,12,11,5,14,6,47,16,17,3,,,12,7,9,5,5,24,18,10,1,15,10,4,2,5,2,4,6,6,21,3,8,,
CSB2 Antaretra,Amboatrotroka,ANTARETRA,AMBOATROTROKA,,,6,,,,,,,,,,,0,0,0,,,0,,1,4,16,9,44,60,13,0,25,17,8,21,6,6,2,3,14,7,24,7,13,3,5,2,4,10,10,12,33,13,9,10,9,2,0,0,3,3,5,16,5,0,10,,
CSB2 Antaretra,Ambodiara,ANTARETRA,AMBODIARA I,,,,,,,,,,,,,,,,,,,,,1,7,14,16,33,61,3,,20,23,13,5,14,5,9,3,26,18,8,18,3,6,6,3,4,8,19,27,22,3,0,15,6,3,0,0,4,8,13,19,0,14,21,,
CSB2 Antaretra,Ambodirotra,ANTARETRA,AMBODIROTRA,,,,,,,,,,,,,,2,0,2,,,,0,0,2,3,5,,7,0,0,10,6,3,1,0,0,3,1,2,10,5,3,9,1,3,0,0,1,6,5,13,13,8,3,15,2,3,0,2,0,3,9,6,19,11,,
CSB2 Antaretra,Ampasimbe,ANTARETRA,AMPASIMBE,19,,,,,,,,,,,,,,,,,,1,,3,22,32,39,6,,10,4,9,12,4,3,5,7,6,9,12,2,5,9,10,3,0,1,0,0,9,1,3,15,6,5,11,1,0,0,2,3,7,13,6,6,12,,
CSB2 Antaretra,Andonabe,ANTARETRA,ANDONABE,,,,,,,,,,,,,,,,,,,0,,0,17,9,13,22,22,8,17,7,4,7,1,0,3,2,3,3,19,3,11,4,1,0,0,0,1,4,4,13,10,9,15,1,0,2,0,0,1,3,8,14,6,11,,
CSB2 Antaretra,Andranomaitso,ANTARETRA,ANDRANOMAITSO,,,3,,,,,,,,,,,4,0,,,,0,,0,18,3,3,26,25,8,0,15,9,0,0,0,0,6,1,9,4,6,11,13,2,1,0,0,0,2,7,12,0,9,15,11,2,1,0,4,2,9,8,19,6,12,,
CSB2 Antaretra,Antaretra,ANTARETRA,ANTARETRA,,,3,,,,,,,,,,,0,0,0,,,0,,0,0,0,0,1,1,0,0,2,0,2,0,0,0,0,1,3,1,2,0,2,0,1,0,0,0,1,0,2,26,9,14,9,0,0,0,0,0,2,3,18,7,9,,
CSB2 Antaretra,Betampona,ANTARETRA,BETAMPONA,,,,,,,,,,,,,2,2,12,0,,,,0,2,0,2,8,12,0,6,0,6,3,2,0,1,2,2,4,2,3,3,5,1,3,2,0,1,1,7,10,21,16,0,19,8,4,0,1,3,3,9,8,16,14,10,,
CSB2 Antaretra,Morafeno,ANTARETRA,MORAFENO,,,,,,,,,,,,,,,,6,,,,0,0,1,8,8,24,0,0,0,13,0,,2,1,1,5,9,7,13,8,7,7,8,0,1,0,2,6,16,33,0,0,15,8,4,6,1,2,1,4,12,11,0,22,,
CSB2 Ifanadiana,Ambodiara,IFANADIANA,AMBODIARA,4,1,7,5,3,3,2,0,0,0,2,1,15,3,,21,3,3,0,0,0,4,5,8,42,20,0,0,7,8,2,5,0,1,3,7,17,12,17,,14,10,3,2,1,0,2,21,44,54,17,0,6,1,0,0,2,2,12,31,61,18,16,,
CSB2 Ifanadiana,Ambodirafia,IFANADIANA,AMBODIRAFIA II,,,,,,0,0,,,,,,16,,,,,0,,,,42,65,46,108,0,0,,8,,,,,,,,,,,18,,,25,26,9,18,12,22,51,23,0,0,25,10,4,0,10,13,31,33,64,10,18,,
CSB2 Ifanadiana,Amboraka,IFANADIANA,AMBORAKA,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,6,6,6,11,11,1,7,1,1,0,0,5,12,18,16,2,0,7,0,1,1,0,1,21,28,46,6,19,,
CSB2 Ifanadiana,Andranofolahina,IFANADIANA,ANDRANOFOLAHINA,,,,,5,10,0,0,0,0,,,,,,,,10,,,0,2,11,5,20,0,,0,0,,6,0,,,,,,,,,,,0,0,0,4,12,29,43,28,0,3,10,4,0,0,6,4,33,34,,0,12,,
CSB2 Ifanadiana,Antafotenina,IFANADIANA,ANTAFOTENINA,11,7,,,,4,12,1,0,0,0,0,19,11,21,20,0,4,0,0,0,6,5,12,21,29,0,0,0,12,2,2,2,2,16,5,6,15,2,7,9,1,0,0,0,3,5,17,21,27,5,0,4,4,1,1,0,7,7,14,43,47,16,,
CSB2 Ifanadiana,Fenoarivo,IFANADIANA,FENOARIVO I,,0,0,8,,0,2,0,0,1,0,0,15,,10,9,2,0,1,0,0,3,13,10,26,4,0,0,12,13,3,3,2,3,10,5,17,17,10,18,12,12,5,2,1,3,14,16,24,39,30,0,7,6,5,3,1,1,22,14,52,18,20,,
CSB2 Ifanadiana,Ifanadiana,IFANADIANA,IFANADIANA,0,0,18,0,9,1,0,,0,0,4,9,0,19,27,9,0,1,0,0,1,0,18,11,81,45,32,22,12,26,12,4,4,2,11,12,19,12,3,30,33,14,24,10,3,9,27,48,56,31,32,0,13,0,0,0,0,0,22,31,68,41,22,,
CSB2 Ifanadiana,Maromena,IFANADIANA,MAROMENA,,,,,,0,,0,1,2,3,,5,26,23,15,,0,0,,,8,2,7,23,2,0,0,5,,,0,,7,15,17,48,,2,21,11,23,10,15,25,11,39,29,40,0,0,0,30,25,13,0,17,19,29,40,32,16,32,,
CSB2 Ifanadiana,Sahafitoroka,IFANADIANA,SAHAFITOROKA,0,0,25,,0,0,0,,0,0,0,,12,8,14,15,2,0,0,0,5,7,22,18,34,13,0,0,1,5,21,0,1,2,8,4,23,22,10,22,12,3,0,2,0,1,16,18,51,12,1,0,1,3,0,0,1,8,30,31,61,3,25,,
CSB2 Kelilalina,Ambaladingana,KELILALINA,AMBALADINGANA,,,,4,1,0,0,0,1,0,4,,16,22,39,42,22,0,5,0,1,3,15,39,34,11,0,0,24,0,14,4,4,8,10,13,27,24,32,23,,21,8,2,0,5,10,36,45,11,9,5,4,2,1,0,2,2,16,23,16,1,0,,
